Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand
49215902,0.0,0.0,0.0,1.0,-1.0,1.0
49215943,0.0,0.0,0.0,0.0,0.0,1.0
49216091,0.0,0.0,0.0,2.0,-1.0,0.0
49216128,0.0,0.0,0.0,0.0,0.0,1.0
49216140,0.0,0.0,0.0,2.0,-2.0,1.0
49216351,0.0,0.0,0.0,0.0,0.0,1.0
49216362,0.0,0.0,0.0,0.0,0.0,1.0
49216373,0.0,0.0,0.0,0.0,0.0,1.0
49216419,0.0,0.0,0.0,0.0,0.0,1.0
49216507,0.0,0.0,0.0,2.0,-1.0,0.0
49216534,0.0,0.0,0.0,1.0,-1.0,1.0
49216550,0.0,0.0,0.0,0.0,0.0,1.0
49216595,0.0,0.0,0.0,0.0,0.0,1.0
49216648,0.0,0.0,0.0,2.0,-2.0,1.0
49216727,0.0,0.0,0.0,2.0,0.0,-1.0
49216904,0.0,0.0,0.0,0.0,0.0,1.0
49216952,0.0,0.0,0.0,2.0,-2.0,1.0
49216953,0.0,0.0,0.0,2.0,-1.0,0.0
49216989,0.0,0.0,0.0,0.0,0.0,1.0
49217061,0.0,0.0,0.0,0.0,0.0,1.0
49217090,0.0,0.0,0.0,3.0,-3.0,1.0
49217130,0.0,0.0,0.0,0.0,0.0,1.0
49217147,0.0,0.0,0.0,1.0,-1.0,1.0
49217169,0.0,0.0,0.0,0.0,0.0,1.0
49217226,0.0,0.0,0.0,3.0,-3.0,1.0
49217227,0.0,0.0,0.0,0.0,0.0,1.0
49217296,0.0,0.0,0.0,0.0,0.0,1.0
49217311,0.0,0.0,0.0,0.0,0.0,1.0
49217334,0.0,0.0,0.0,0.0,0.0,1.0
49217347,0.0,0.0,0.0,0.0,0.0,1.0
49217431,0.0,0.0,0.0,1.0,-1.0,1.0
49217458,0.0,0.0,0.0,0.0,0.0,1.0
49217570,0.0,0.0,0.0,1.0,-1.0,1.0
49217593,0.0,0.0,0.0,1.0,-1.0,1.0
49217695,0.0,0.0,0.0,0.0,0.0,1.0
49217719,0.0,0.0,0.0,0.0,0.0,1.0
49217808,0.0,0.0,0.0,1.0,0.0,0.0
49217814,0.0,0.0,0.0,0.0,0.0,1.0
49217907,0.0,0.0,0.0,1.0,0.0,0.0
49217937,0.0,0.0,0.0,0.0,0.0,1.0
49217940,0.0,0.0,0.0,0.0,0.0,1.0
49217991,0.0,0.0,0.0,0.0,0.0,1.0
49218005,0.0,0.0,0.0,2.0,-2.0,1.0
49218032,0.0,0.0,0.0,0.0,0.0,1.0
49218027,0.0,0.0,0.0,0.0,0.0,1.0
49218055,0.0,0.0,0.0,0.0,0.0,1.0
49218063,0.0,0.0,0.0,0.0,0.0,1.0
49218117,0.0,0.0,0.0,0.0,0.0,1.0
49218112,0.0,0.0,0.0,1.0,-1.0,1.0
49218129,0.0,0.0,0.0,0.0,0.0,1.0
49218153,0.0,0.0,0.0,1.0,-1.0,1.0
49218155,0.0,0.0,0.0,1.0,-1.0,1.0
49218257,0.0,0.0,0.0,0.0,0.0,1.0
49218290,0.0,0.0,0.0,0.0,0.0,1.0
49218298,0.0,0.0,0.0,2.0,-1.0,0.0
49218327,0.0,0.0,0.0,0.0,0.0,1.0
49218314,0.0,0.0,0.0,2.0,-2.0,1.0
49218318,0.0,0.0,0.0,1.0,-1.0,1.0
49218374,0.0,0.0,0.0,0.0,0.0,1.0
49218385,0.0,0.0,0.0,0.0,0.0,1.0
49218444,0.0,0.0,0.0,0.0,0.0,1.0
49218511,0.0,0.0,0.0,1.0,0.0,0.0
49218557,0.0,0.0,0.0,3.0,-2.0,0.0
49218666,0.0,0.0,0.0,0.0,0.0,1.0
49218697,0.0,0.0,0.0,0.0,0.0,1.0
49218700,0.0,0.0,0.0,0.0,0.0,1.0
49218778,0.0,0.0,0.0,0.0,0.0,1.0
49218816,0.0,0.0,0.0,0.0,0.0,1.0
49218800,0.0,0.0,0.0,2.0,-2.0,1.0
49218822,0.0,0.0,0.0,0.0,0.0,1.0
49218813,0.0,0.0,0.0,0.0,0.0,1.0
49218839,0.0,0.0,0.0,0.0,0.0,1.0
49218851,0.0,0.0,0.0,1.0,-1.0,1.0
49218952,0.0,0.0,0.0,0.0,0.0,1.0
49218962,0.0,0.0,0.0,1.0,-1.0,1.0
49218975,0.0,0.0,0.0,0.0,0.0,1.0
49218983,0.0,0.0,0.0,0.0,0.0,1.0
49219044,0.0,0.0,0.0,0.0,0.0,1.0
49219198,0.0,0.0,0.0,0.0,0.0,1.0
49219302,0.0,0.0,0.0,1.0,-1.0,1.0
49219322,0.0,0.0,0.0,0.0,0.0,1.0
49219347,0.0,0.0,0.0,1.0,0.0,0.0
49219371,0.0,0.0,0.0,0.0,0.0,1.0
49219511,0.0,0.0,0.0,0.0,0.0,1.0
49219578,0.0,0.0,0.0,1.0,-1.0,1.0
49219602,0.0,0.0,0.0,2.0,-1.0,0.0
49219619,0.0,0.0,0.0,1.0,0.0,0.0
86075049,0.0,0.0,0.0,0.0,0.0,1.0
86075058,0.0,0.0,0.0,0.0,0.0,1.0
86075130,0.0,0.0,0.0,0.0,0.0,1.0
86075205,0.0,0.0,0.0,3.0,-2.0,0.0
86075340,0.0,0.0,0.0,0.0,0.0,1.0
86075325,0.0,0.0,0.0,0.0,0.0,1.0
86075404,0.0,0.0,0.0,0.0,0.0,1.0
86075462,0.0,0.0,0.0,0.0,0.0,1.0
86075445,0.0,0.0,0.0,0.0,0.0,1.0
86075502,0.0,0.0,0.0,0.0,0.0,1.0
86075548,0.0,0.0,0.0,0.0,0.0,1.0
86075621,0.0,0.0,0.0,1.0,-1.0,1.0
86075658,0.0,0.0,0.0,1.0,-1.0,1.0
86075667,0.0,0.0,0.0,0.0,0.0,1.0
