Event, nTightEle, nTightMu, hasOS, hasOS_ZCand, hasSS_ZCand, nGenMatchedLeptons, nFlips, nJets, nBJets
327773471,2,0,1,1,0,2,0,1,1
327773491,2,0,1,1,0,2,0,1,0
327773478,2,0,1,1,0,2,0,2,0
327773554,2,0,1,1,0,2,0,0,0
327773566,2,0,1,1,0,2,0,0,0
327773586,2,0,1,1,0,2,0,2,1
327773616,2,0,1,1,0,2,0,0,0
327773624,2,0,1,1,0,2,0,0,0
327773653,2,0,1,1,0,2,0,0,0
327773720,2,0,1,1,0,2,0,1,0
327773780,2,0,1,1,0,2,0,0,0
327773793,2,0,1,1,0,2,0,0,0
327773808,2,0,1,1,0,2,0,0,0
327773797,2,0,1,1,0,2,0,0,0
327773820,2,0,1,1,0,2,0,2,0
327773821,2,0,1,1,0,2,0,2,2
327773857,2,0,1,1,0,2,0,0,0
327774093,2,0,1,1,0,2,0,0,0
327774113,2,0,1,1,0,2,0,1,0
327774119,2,0,1,1,0,2,0,2,1
327774153,2,0,1,1,0,2,0,1,0
327774211,2,0,1,1,0,2,0,0,0
327774207,2,0,1,1,0,2,0,2,2
381349485,2,0,1,1,0,2,0,1,0
381349527,2,0,1,1,0,2,0,1,1
381349556,2,0,1,1,0,2,0,2,1
381349610,2,0,1,1,0,2,0,0,0
381349616,2,0,1,1,0,2,0,0,0
381349681,2,0,1,1,0,2,0,1,0
381349690,2,0,1,1,0,2,0,1,0
381349829,2,0,1,1,0,2,0,0,0
381349840,2,0,1,1,0,2,0,0,0
381349822,2,0,1,1,0,2,0,1,0
381349833,2,0,1,1,0,2,0,1,0
381349962,2,0,1,1,0,2,0,2,0
381349969,2,0,1,1,0,2,0,1,0
381349977,2,0,1,1,0,2,0,0,0
381349981,2,0,1,1,0,2,0,0,0
381349997,2,0,1,1,0,2,0,0,0
381350020,2,0,1,1,0,2,0,2,0
381350070,2,0,1,1,0,2,0,1,1
381350080,2,0,1,1,0,2,0,0,0
381350076,2,0,1,1,0,2,0,2,0
381350121,2,0,1,1,0,2,0,2,1
381350116,2,0,1,1,0,2,0,0,0
381350148,2,0,1,1,0,2,0,0,0
381350184,2,0,1,1,0,2,0,1,0
381350235,2,0,1,1,0,2,0,0,0
381350250,2,0,1,1,0,2,0,0,0
381350327,2,0,1,1,0,2,0,0,0
381350329,2,0,1,1,0,2,0,1,0
381350319,2,0,1,1,0,2,0,1,1
381350380,2,0,1,1,0,2,0,0,0
381350512,2,0,1,1,0,2,0,0,0
381350514,2,0,1,1,0,2,0,1,0
381350506,2,0,1,1,0,2,0,0,0
381350554,2,0,1,1,0,2,0,0,0
381350590,2,0,1,1,0,2,0,0,0
381350574,2,0,1,1,0,2,0,2,1
381350621,2,0,1,1,0,2,0,1,1
381350661,2,0,1,1,0,2,0,1,0
381350656,2,0,1,1,0,2,0,0,0
381350732,2,0,1,1,0,2,0,0,0
381350764,2,0,1,1,0,2,0,0,0
381350873,2,0,1,1,0,2,0,0,0
381350934,2,0,1,1,0,2,0,2,1
381350973,2,0,1,1,0,2,0,0,0
381350993,2,0,1,1,0,2,0,0,0
381351041,2,0,1,1,0,2,0,2,0
381351122,2,0,1,1,0,2,0,1,1
381351148,2,0,1,1,0,2,0,0,0
381351187,2,0,1,1,0,2,0,0,0
381351247,2,0,1,1,0,2,0,0,0
381351275,2,0,1,1,0,2,0,0,0
381351286,2,0,1,1,0,2,0,0,0
381351304,2,0,1,1,0,2,0,0,0
381351322,2,0,1,1,0,2,0,0,0
381351367,2,0,1,1,0,2,0,1,0
381351399,2,0,1,1,0,2,0,0,0
381351405,2,0,1,1,0,2,0,0,0
381351452,2,0,1,1,0,2,0,0,0
381351453,2,0,1,1,0,2,0,0,0
381351516,2,0,1,1,0,2,0,1,0
381351550,2,0,1,1,0,2,0,0,0
381351546,2,0,1,1,0,2,0,2,0
381351617,2,0,1,1,0,2,0,0,0
381351642,2,0,1,1,0,2,0,0,0
381351817,2,0,1,1,0,2,0,0,0
381351867,2,0,1,1,0,2,0,1,0
381351885,2,0,1,1,0,2,0,3,0
381351895,2,0,1,1,0,2,0,0,0
381351935,2,0,1,1,0,2,0,1,0
381352036,2,0,1,1,0,2,0,0,0
381352174,2,0,1,1,0,2,0,0,0
381352198,2,0,1,1,0,2,0,0,0
381352232,2,0,1,1,0,2,0,0,0
381352237,2,0,1,1,0,2,0,0,0
381352262,2,0,1,1,0,2,0,0,0
381352285,2,0,1,1,0,2,0,0,0
381352323,2,0,1,1,0,2,0,0,0
381352399,2,0,1,1,0,2,0,0,0
381352400,2,0,1,1,0,2,0,1,1
381352452,2,0,1,1,0,2,0,2,0
381352569,2,0,1,1,0,2,0,0,0
381352641,2,0,1,1,0,2,0,0,0
381352671,2,0,1,1,0,2,0,0,0
381352693,2,0,1,1,0,1,0,2,0
381352723,2,0,1,1,0,2,0,3,1
381352713,2,0,1,1,0,2,0,0,0
381352710,2,0,1,1,0,2,0,0,0
381352692,2,0,1,1,0,2,0,0,0
381352749,2,0,1,1,0,2,0,1,0
381352770,2,0,1,1,0,2,0,2,0
381352821,2,0,1,1,0,2,0,0,0
381352891,2,0,1,1,0,2,0,0,0
381352843,2,0,1,1,0,2,0,0,0
381352957,2,0,1,1,0,2,0,0,0
381352949,2,0,1,1,0,2,0,0,0
381353091,2,0,1,1,0,2,0,0,0
381353065,2,0,1,1,0,2,0,0,0
381353204,2,0,1,1,0,2,0,1,1
381353250,2,0,1,1,0,2,0,0,0
381353242,2,0,1,1,0,2,0,0,0
381353256,2,0,1,1,0,2,0,0,0
381353339,2,0,1,1,0,2,0,0,0
381353368,2,0,1,1,0,2,0,0,0
381353416,2,0,1,1,0,2,0,2,0
381353480,2,0,1,1,0,2,0,4,0
381353626,2,0,1,1,0,2,0,0,0
381353639,2,0,1,1,0,2,0,0,0
381353759,2,0,1,1,0,2,0,0,0
381353777,2,0,1,1,0,2,0,1,0
381353831,2,0,1,1,0,2,0,0,0
381353850,2,0,1,1,0,2,0,0,0
381353867,2,0,1,1,0,2,0,0,0
381353926,2,0,1,1,0,2,0,1,0
381353985,2,0,1,1,0,2,0,0,0
381354005,2,0,1,1,0,2,0,0,0
381354099,2,0,1,1,0,2,0,1,0
381354111,2,0,1,1,0,2,0,0,0
381354103,2,0,1,1,0,2,0,0,0
381354152,2,0,1,1,0,2,0,0,0
381354194,2,0,1,1,0,2,0,1,0
381354286,2,0,1,1,0,2,0,1,1
381354346,2,0,1,1,0,2,0,1,0
381354448,2,0,1,1,0,2,0,0,0
381354446,2,0,1,1,0,2,0,0,0
381354528,2,0,1,1,0,2,0,0,0
381354538,2,0,1,1,0,2,0,0,0
381354555,2,0,1,1,0,2,0,0,0
381354549,2,0,1,1,0,2,0,1,1
381354591,2,0,1,1,0,2,0,0,0
381354633,2,0,1,1,0,2,0,0,0
381354738,2,0,1,1,0,2,0,0,0
381354802,2,0,1,1,0,2,0,3,0
381354792,2,0,1,1,0,2,0,0,0
381354816,2,0,1,1,0,2,0,0,0
381354824,2,0,1,1,0,2,0,0,0
324650828,2,0,1,1,0,2,0,0,0
324650815,2,0,1,1,0,2,0,1,0
324650890,2,0,1,1,0,2,0,1,1
324651013,2,0,1,1,0,2,0,0,0
324651114,2,0,1,1,0,2,0,1,0
324651199,2,0,1,1,0,2,0,0,0
324651207,2,0,1,1,0,2,0,1,0
324651269,2,0,1,1,0,2,0,0,0
324651294,2,0,1,1,0,2,0,0,0
324651343,2,0,1,1,0,2,0,0,0
324651344,2,0,1,1,0,2,0,0,0
324651406,2,0,1,1,0,2,0,0,0
324651411,2,0,1,1,0,2,0,0,0
324651458,2,0,1,1,0,2,0,0,0
324651456,2,0,1,1,0,2,0,0,0
324651499,2,0,1,1,0,2,0,1,0
324651524,2,0,1,1,0,2,0,0,0
324651534,2,0,1,1,0,2,0,1,0
324651552,2,0,1,1,0,2,0,0,0
324651605,2,0,1,1,0,2,0,0,0
324651690,2,0,1,1,0,2,0,0,0
324651742,2,0,1,1,0,2,0,0,0
324651744,2,0,1,1,0,2,0,0,0
324651856,2,0,1,1,0,2,0,0,0
324651899,2,0,1,1,0,2,0,0,0
324651889,2,0,1,1,0,2,0,0,0
324651966,2,0,1,1,0,2,0,2,2
324651985,2,0,1,1,0,2,0,1,0
324652018,2,0,1,1,0,2,0,0,0
324652034,2,0,1,1,0,2,0,1,1
324652047,2,0,1,1,0,2,0,0,0
324652050,2,0,1,1,0,2,0,0,0
324652097,2,0,1,1,0,2,0,0,0
